Real Estate Home Knowledge,Property ID,Address,Last Sale Date,Previous Owners Count,Equity Percentage,Mortgage Default History,Loan-to-Value (LTV) Ratio,Tax Delinquency Year,Liens Amount,Bankruptcy Status,Foreclosure Status,Years Since Last Sale,Has Liens,Low Equity,Distress
Short Sale,91,"123 Example St, City, State 91",2022-07-31,0,55.0,0.0,68.0,2018,5900,0.0,0.0,3,True,True,1
Title Issues,92,"123 Example St, City, State 92",2022-08-31,1,55.5,0.0,68.2,2019,5910,0.0,0.0,3,True,True,1
Property Damage,93,"123 Example St, City, State 93",2022-09-30,2,56.0,0.0,68.4,2020,5920,0.0,0.0,3,True,True,1
Short Sale,94,"123 Example St, City, State 94",2022-10-31,3,56.5,0.0,68.6,2021,5930,0.0,0.0,3,True,True,1
Short Sale,95,"123 Example St, City, State 95",2022-11-30,4,57.0,0.0,68.8,2022,5940,0.0,0.0,3,True,True,1
HOA Violations,96,"123 Example St, City, State 96",2022-12-31,0,57.5,0.0,69.0,2018,5950,0.0,0.0,3,True,True,1
Probate,97,"123 Example St, City, State 97",2023-01-31,1,58.0,0.0,69.2,2019,5960,0.0,0.0,2,True,True,1
HOA Violations,98,"123 Example St, City, State 98",2023-02-28,2,58.5,0.0,69.4,2020,5970,0.0,0.0,2,True,True,1
HOA Violations,99,"123 Example St, City, State 99",2023-03-31,3,59.0,0.0,69.6,2021,5980,0.0,0.0,2,True,True,1
Short Sale,100,"123 Example St, City, State 100",2023-04-30,4,59.5,0.0,69.8,2022,5990,0.0,0.0,2,True,True,1
Foreclosure,101,"123 Example St, City, State 101",2023-05-31,0,60.0,0.0,70.0,2018,6000,0.0,0.0,2,True,True,1
Loan Modification,102,"123 Example St, City, State 102",2023-06-30,1,60.5,0.0,70.2,2019,6010,0.0,0.0,2,True,True,1
Foreclosure,103,"123 Example St, City, State 103",2023-07-31,2,61.0,0.0,70.4,2020,6020,0.0,0.0,2,True,True,1
Foreclosure,104,"123 Example St, City, State 104",2023-08-31,3,61.5,0.0,70.6,2021,6030,0.0,0.0,2,True,True,1
Loan Modification,105,"123 Example St, City, State 105",2023-09-30,4,62.0,0.0,70.8,2022,6040,0.0,0.0,2,True,True,1
Probate,106,"123 Example St, City, State 106",2023-10-31,0,62.5,0.0,71.0,2018,6050,0.0,0.0,2,True,True,1
Title Issues,107,"123 Example St, City, State 107",2023-11-30,1,63.0,0.0,71.2,2019,6060,0.0,0.0,2,True,True,1
Lien,108,"123 Example St, City, State 108",2023-12-31,2,63.5,0.0,71.4,2020,6070,0.0,0.0,2,True,True,1
Probate,109,"123 Example St, City, State 109",2024-01-31,3,64.0,0.0,71.6,2021,6080,0.0,0.0,1,True,True,1
Loan Modification,110,"123 Example St, City, State 110",2024-02-29,4,64.5,0.0,71.8,2022,6090,0.0,0.0,1,True,True,1
Property Damage,111,"123 Example St, City, State 111",2024-03-31,0,65.0,0.0,72.0,2018,6100,0.0,0.0,1,True,True,1
Property Damage,112,"123 Example St, City, State 112",2024-04-30,1,65.5,0.0,72.2,2019,6110,0.0,0.0,1,True,True,1
Probate,113,"123 Example St, City, State 113",2024-05-31,2,66.0,0.0,72.4,2020,6120,0.0,0.0,1,True,True,1
HOA Violations,114,"123 Example St, City, State 114",2024-06-30,3,66.5,0.0,72.6,2021,6130,0.0,0.0,1,True,True,1
HOA Violations,115,"123 Example St, City, State 115",2024-07-31,4,67.0,0.0,72.8,2022,6140,0.0,0.0,1,True,True,1
Loan Modification,116,"123 Example St, City, State 116",2024-08-31,0,67.5,0.0,73.0,2018,6150,0.0,0.0,1,True,True,1
Loan Modification,117,"123 Example St, City, State 117",2024-09-30,1,68.0,0.0,73.2,2019,6160,0.0,0.0,1,True,True,1
Bankruptcy,118,"123 Example St, City, State 118",2024-10-31,2,68.5,0.0,73.4,2020,6170,0.0,0.0,1,True,True,1
HOA Violations,119,"123 Example St, City, State 119",2024-11-30,3,69.0,0.0,73.6,2021,6180,0.0,0.0,1,True,True,1
Title Issues,120,"123 Example St, City, State 120",2024-12-31,4,69.5,0.0,73.8,2022,6190,0.0,0.0,1,True,True,1
Probate,121,"123 Example St, City, State 121",2025-01-31,0,70.0,0.0,74.0,2018,6200,0.0,0.0,0,True,True,1
Property Damage,122,"123 Example St, City, State 122",2025-02-28,1,70.5,0.0,74.2,2019,6210,0.0,0.0,0,True,True,1
Lien,123,"123 Example St, City, State 123",2025-03-31,2,71.0,0.0,74.4,2020,6220,0.0,0.0,0,True,True,1
Probate,124,"123 Example St, City, State 124",2025-04-30,3,71.5,0.0,74.6,2021,6230,0.0,0.0,0,True,True,1
Short Sale,125,"123 Example St, City, State 125",2025-05-31,4,72.0,0.0,74.8,2022,6240,0.0,0.0,0,True,True,1
Foreclosure,126,"123 Example St, City, State 126",2025-06-30,0,72.5,0.0,75.0,2018,6250,0.0,0.0,0,True,True,1
Unpaid Taxes,127,"123 Example St, City, State 127",2025-07-31,1,73.0,0.0,75.2,2019,6260,0.0,0.0,0,True,True,1
Unpaid Taxes,128,"123 Example St, City, State 128",2025-08-31,2,73.5,0.0,75.4,2020,6270,0.0,0.0,0,True,True,1
Property Damage,129,"123 Example St, City, State 129",2025-09-30,3,74.0,0.0,75.6,2021,6280,0.0,0.0,0,True,True,1
HOA Violations,130,"123 Example St, City, State 130",2025-10-31,4,74.5,0.0,75.8,2022,6290,0.0,0.0,0,True,True,1
Foreclosure,131,"123 Example St, City, State 131",2025-11-30,0,75.0,0.0,76.0,2018,6300,0.0,0.0,0,True,True,1
Probate,132,"123 Example St, City, State 132",2025-12-31,1,75.5,0.0,76.2,2019,6310,0.0,0.0,0,True,True,1
Title Issues,133,"123 Example St, City, State 133",2026-01-31,2,76.0,0.0,76.4,2020,6320,0.0,0.0,-1,True,True,1
Property Damage,134,"123 Example St, City, State 134",2026-02-28,3,76.5,0.0,76.6,2021,6330,0.0,0.0,-1,True,True,1
Title Issues,135,"123 Example St, City, State 135",2026-03-31,4,77.0,0.0,76.8,2022,6340,0.0,0.0,-1,True,True,1
Property Damage,136,"123 Example St, City, State 136",2026-04-30,0,77.5,0.0,77.0,2018,6350,0.0,0.0,-1,True,True,1
Lien,137,"123 Example St, City, State 137",2026-05-31,1,78.0,0.0,77.2,2019,6360,0.0,0.0,-1,True,True,1
Lien,138,"123 Example St, City, State 138",2026-06-30,2,78.5,0.0,77.4,2020,6370,0.0,0.0,-1,True,True,1
Unpaid Taxes,139,"123 Example St, City, State 139",2026-07-31,3,79.0,0.0,77.6,2021,6380,0.0,0.0,-1,True,True,1
Title Issues,140,"123 Example St, City, State 140",2026-08-31,4,79.5,0.0,77.8,2022,6390,0.0,0.0,-1,True,True,1
Property Damage,141,"123 Example St, City, State 141",2026-09-30,0,80.0,0.0,78.0,2018,6400,0.0,0.0,-1,True,True,1
Short Sale,142,"123 Example St, City, State 142",2026-10-31,1,80.5,0.0,78.2,2019,6410,0.0,0.0,-1,True,True,1
Lien,143,"123 Example St, City, State 143",2026-11-30,2,81.0,0.0,78.4,2020,6420,0.0,0.0,-1,True,True,1
Foreclosure,144,"123 Example St, City, State 144",2026-12-31,3,81.5,0.0,78.6,2021,6430,0.0,0.0,-1,True,True,1
HOA Violations,145,"123 Example St, City, State 145",2027-01-31,4,82.0,0.0,78.8,2022,6440,0.0,0.0,-2,True,True,1
Loan Modification,146,"123 Example St, City, State 146",2027-02-28,0,82.5,0.0,79.0,2018,6450,0.0,0.0,-2,True,True,1
Title Issues,147,"123 Example St, City, State 147",2027-03-31,1,83.0,0.0,79.2,2019,6460,0.0,0.0,-2,True,True,1
Loan Modification,148,"123 Example St, City, State 148",2027-04-30,2,83.5,0.0,79.4,2020,6470,0.0,0.0,-2,True,True,1
HOA Violations,149,"123 Example St, City, State 149",2027-05-31,3,84.0,0.0,79.6,2021,6480,0.0,0.0,-2,True,True,1
HOA Violations,150,"123 Example St, City, State 150",2027-06-30,4,84.5,0.0,79.8,2022,6490,0.0,0.0,-2,True,True,1
Title Issues,151,"123 Example St, City, State 151",2027-07-31,0,85.0,0.0,80.0,2018,6500,0.0,0.0,-2,True,True,1
Title Issues,152,"123 Example St, City, State 152",2027-08-31,1,85.5,0.0,80.2,2019,6510,0.0,0.0,-2,True,True,1
Lien,153,"123 Example St, City, State 153",2027-09-30,2,86.0,0.0,80.4,2020,6520,0.0,0.0,-2,True,True,1
Bankruptcy,154,"123 Example St, City, State 154",2027-10-31,3,86.5,0.0,80.6,2021,6530,0.0,0.0,-2,True,True,1
HOA Violations,155,"123 Example St, City, State 155",2027-11-30,4,87.0,0.0,80.8,2022,6540,0.0,0.0,-2,True,True,1
Property Damage,156,"123 Example St, City, State 156",2027-12-31,0,87.5,0.0,81.0,2018,6550,0.0,0.0,-2,True,True,1
Probate,157,"123 Example St, City, State 157",2028-01-31,1,88.0,0.0,81.2,2019,6560,0.0,0.0,-3,True,True,1
HOA Violations,158,"123 Example St, City, State 158",2028-02-29,2,88.5,0.0,81.4,2020,6570,0.0,0.0,-3,True,True,1
Unpaid Taxes,159,"123 Example St, City, State 159",2028-03-31,3,89.0,0.0,81.6,2021,6580,0.0,0.0,-3,True,True,1
Unpaid Taxes,160,"123 Example St, City, State 160",2028-04-30,4,89.5,0.0,81.8,2022,6590,0.0,0.0,-3,True,True,1
HOA Violations,161,"123 Example St, City, State 161",2028-05-31,0,90.0,0.0,82.0,2018,6600,0.0,0.0,-3,True,True,1
Unpaid Taxes,162,"123 Example St, City, State 162",2028-06-30,1,90.5,0.0,82.2,2019,6610,0.0,0.0,-3,True,True,1
Short Sale,163,"123 Example St, City, State 163",2028-07-31,2,91.0,0.0,82.4,2020,6620,0.0,0.0,-3,True,True,1
Lien,164,"123 Example St, City, State 164",2028-08-31,3,91.5,0.0,82.6,2021,6630,0.0,0.0,-3,True,True,1
Unpaid Taxes,165,"123 Example St, City, State 165",2028-09-30,4,92.0,0.0,82.8,2022,6640,0.0,0.0,-3,True,True,1
Loan Modification,166,"123 Example St, City, State 166",2028-10-31,0,92.5,0.0,83.0,2018,6650,0.0,0.0,-3,True,True,1
Bankruptcy,167,"123 Example St, City, State 167",2028-11-30,1,93.0,0.0,83.2,2019,6660,0.0,0.0,-3,True,True,1
Foreclosure,168,"123 Example St, City, State 168",2028-12-31,2,93.5,0.0,83.4,2020,6670,0.0,0.0,-3,True,True,1
Lien,169,"123 Example St, City, State 169",2029-01-31,3,94.0,0.0,83.6,2021,6680,0.0,0.0,-4,True,True,1
Bankruptcy,170,"123 Example St, City, State 170",2029-02-28,4,94.5,0.0,83.8,2022,6690,0.0,0.0,-4,True,True,1
Bankruptcy,171,"123 Example St, City, State 171",2029-03-31,0,95.0,0.0,84.0,2018,6700,0.0,0.0,-4,True,True,1
Probate,172,"123 Example St, City, State 172",2029-04-30,1,95.5,0.0,84.2,2019,6710,0.0,0.0,-4,True,True,1
Bankruptcy,173,"123 Example St, City, State 173",2029-05-31,2,96.0,0.0,84.4,2020,6720,0.0,0.0,-4,True,True,1
Short Sale,174,"123 Example St, City, State 174",2029-06-30,3,96.5,0.0,84.6,2021,6730,0.0,0.0,-4,True,True,1
Bankruptcy,175,"123 Example St, City, State 175",2029-07-31,4,97.0,0.0,84.8,2022,6740,0.0,0.0,-4,True,True,1
Bankruptcy,176,"123 Example St, City, State 176",2029-08-31,0,97.5,0.0,85.0,2018,6750,0.0,0.0,-4,True,True,1
Unpaid Taxes,177,"123 Example St, City, State 177",2029-09-30,1,98.0,0.0,85.2,2019,6760,0.0,0.0,-4,True,True,1
Foreclosure,178,"123 Example St, City, State 178",2029-10-31,2,98.5,0.0,85.4,2020,6770,0.0,0.0,-4,True,True,1
Title Issues,179,"123 Example St, City, State 179",2029-11-30,3,99.0,0.0,85.6,2021,6780,0.0,0.0,-4,True,True,1
Unpaid Taxes,180,"123 Example St, City, State 180",2029-12-31,4,99.5,0.0,85.8,2022,6790,0.0,0.0,-4,True,True,1
Title Issues,181,"123 Example St, City, State 181",2030-01-31,0,100.0,0.0,86.0,2018,6800,0.0,0.0,-5,True,True,1
Unpaid Taxes,182,"123 Example St, City, State 182",2030-02-28,1,100.5,0.0,86.2,2019,6810,0.0,0.0,-5,True,True,1
Foreclosure,183,"123 Example St, City, State 183",2030-03-31,2,101.0,0.0,86.4,2020,6820,0.0,0.0,-5,True,True,1
Short Sale,184,"123 Example St, City, State 184",2030-04-30,3,101.5,0.0,86.6,2021,6830,0.0,0.0,-5,True,True,1
Short Sale,185,"123 Example St, City, State 185",2030-05-31,4,102.0,0.0,86.8,2022,6840,0.0,0.0,-5,True,True,1
HOA Violations,186,"123 Example St, City, State 186",2030-06-30,0,102.5,0.0,87.0,2018,6850,0.0,0.0,-5,True,True,1
Title Issues,187,"123 Example St, City, State 187",2030-07-31,1,103.0,0.0,87.2,2019,6860,0.0,0.0,-5,True,True,1
Foreclosure,188,"123 Example St, City, State 188",2030-08-31,2,103.5,0.0,87.4,2020,6870,0.0,0.0,-5,True,True,1
Foreclosure,189,"123 Example St, City, State 189",2030-09-30,3,104.0,0.0,87.6,2021,6880,0.0,0.0,-5,True,True,1
Probate,190,"123 Example St, City, State 190",2030-10-31,4,104.5,0.0,87.8,2022,6890,0.0,0.0,-5,True,True,1
Bankruptcy,191,"123 Example St, City, State 191",2030-11-30,0,105.0,0.0,88.0,2018,6900,0.0,0.0,-5,True,True,1
Loan Modification,192,"123 Example St, City, State 192",2030-12-31,1,105.5,0.0,88.2,2019,6910,0.0,0.0,-5,True,True,1
Bankruptcy,193,"123 Example St, City, State 193",2031-01-31,2,106.0,0.0,88.4,2020,6920,0.0,0.0,-6,True,True,1
Title Issues,194,"123 Example St, City, State 194",2031-02-28,3,106.5,0.0,88.6,2021,6930,0.0,0.0,-6,True,True,1
Loan Modification,195,"123 Example St, City, State 195",2031-03-31,4,107.0,0.0,88.8,2022,6940,0.0,0.0,-6,True,True,1
Title Issues,196,"123 Example St, City, State 196",2031-04-30,0,107.5,0.0,89.0,2018,6950,0.0,0.0,-6,True,True,1
Title Issues,197,"123 Example St, City, State 197",2031-05-31,1,108.0,0.0,89.2,2019,6960,0.0,0.0,-6,True,True,1
Short Sale,198,"123 Example St, City, State 198",2031-06-30,2,108.5,0.0,89.4,2020,6970,0.0,0.0,-6,True,True,1
Unpaid Taxes,199,"123 Example St, City, State 199",2031-07-31,3,109.0,0.0,89.6,2021,6980,0.0,0.0,-6,True,True,1
Title Issues,200,"123 Example St, City, State 200",2031-08-31,4,109.5,0.0,89.8,2022,6990,0.0,0.0,-6,True,True,1
Foreclosure,201,"123 Example St, City, State 201",2026-12-18,0,33.66,0.0,38.48,2029,8105,0.0,0.0,-1,True,True,1
HOA Violations,202,"123 Example St, City, State 202",2022-10-03,0,69.19,0.0,63.99,2029,5827,0.0,0.0,3,True,True,1
Foreclosure,203,"123 Example St, City, State 203",2031-06-19,4,74.22,0.0,23.26,2024,4707,0.0,0.0,-6,False,True,1
Loan Modification,204,"123 Example St, City, State 204",2033-05-08,3,75.05,0.0,28.72,2013,1856,0.0,0.0,-8,False,True,1
Title Issues,205,"123 Example St, City, State 205",2033-06-13,0,60.65,0.0,60.07,2022,1941,0.0,0.0,-8,False,True,0
Bankruptcy,206,"123 Example St, City, State 206",2025-07-14,5,38.09,0.0,79.62,2023,1621,0.0,0.0,0,False,True,1
Loan Modification,207,"123 Example St, City, State 207",2016-04-04,0,12.4,0.0,37.43,2016,6044,0.0,0.0,9,True,True,1
Loan Modification,208,"123 Example St, City, State 208",2031-02-15,0,90.19,0.0,34.75,2021,2695,0.0,0.0,-6,False,True,0
Bankruptcy,209,"123 Example St, City, State 209",2033-03-14,0,45.89,0.0,56.71,2024,2461,0.0,0.0,-8,False,True,0
HOA Violations,210,"123 Example St, City, State 210",2031-10-20,1,27.41,0.0,45.9,2026,7347,0.0,0.0,-6,True,True,1
Foreclosure,211,"123 Example St, City, State 211",2034-05-24,3,15.7,0.0,28.43,2016,8687,0.0,0.0,-9,True,True,1
