Real Estate Home Knowledge,Property ID,Address,Last Sale Date,Previous Owners Count,Equity Percentage,Mortgage Default History,Loan-to-Value (LTV) Ratio,Tax Delinquency Year,Liens Amount,Bankruptcy Status,Foreclosure Status
Bankruptcy,87,"123 Example St, City, State 87",2022-03-31,1,53.0,False,67.2,2019,5860,True,True
Probate,88,"123 Example St, City, State 88",2022-04-30,2,53.5,True,67.4,2020,5870,False,True
Property Damage,89,"123 Example St, City, State 89",2022-05-31,3,54.0,False,67.6,2021,5880,True,False
Unpaid Taxes,90,"123 Example St, City, State 90",2022-06-30,4,54.5,True,67.8,2022,5890,True,True
Short Sale,91,"123 Example St, City, State 91",2022-07-31,0,55.0,False,68.0,2018,5900,False,True
Title Issues,92,"123 Example St, City, State 92",2022-08-31,1,55.5,True,68.2,2019,5910,True,True
Property Damage,93,"123 Example St, City, State 93",2022-09-30,2,56.0,False,68.4,2020,5920,True,False
Short Sale,94,"123 Example St, City, State 94",2022-10-31,3,56.5,True,68.6,2021,5930,False,True
Short Sale,95,"123 Example St, City, State 95",2022-11-30,4,57.0,False,68.8,2022,5940,True,True
HOA Violations,96,"123 Example St, City, State 96",2022-12-31,0,57.5,True,69.0,2018,5950,True,True
Probate,97,"123 Example St, City, State 97",2023-01-31,1,58.0,False,69.2,2019,5960,False,False
HOA Violations,98,"123 Example St, City, State 98",2023-02-28,2,58.5,True,69.4,2020,5970,True,True
HOA Violations,99,"123 Example St, City, State 99",2023-03-31,3,59.0,False,69.6,2021,5980,True,True
Short Sale,100,"123 Example St, City, State 100",2023-04-30,4,59.5,True,69.8,2022,5990,False,True
Foreclosure,101,"123 Example St, City, State 101",2023-05-31,0,60.0,False,70.0,2018,6000,True,False
Loan Modification,102,"123 Example St, City, State 102",2023-06-30,1,60.5,True,70.2,2019,6010,True,True
Foreclosure,103,"123 Example St, City, State 103",2023-07-31,2,61.0,False,70.4,2020,6020,False,True
Foreclosure,104,"123 Example St, City, State 104",2023-08-31,3,61.5,True,70.6,2021,6030,True,True
Loan Modification,105,"123 Example St, City, State 105",2023-09-30,4,62.0,False,70.8,2022,6040,True,False
Probate,106,"123 Example St, City, State 106",2023-10-31,0,62.5,True,71.0,2018,6050,False,True
Title Issues,107,"123 Example St, City, State 107",2023-11-30,1,63.0,False,71.2,2019,6060,True,True
Lien,108,"123 Example St, City, State 108",2023-12-31,2,63.5,True,71.4,2020,6070,True,True
Probate,109,"123 Example St, City, State 109",2024-01-31,3,64.0,False,71.6,2021,6080,False,False
Loan Modification,110,"123 Example St, City, State 110",2024-02-29,4,64.5,True,71.8,2022,6090,True,True
Property Damage,111,"123 Example St, City, State 111",2024-03-31,0,65.0,False,72.0,2018,6100,True,True
Property Damage,112,"123 Example St, City, State 112",2024-04-30,1,65.5,True,72.2,2019,6110,False,True
Probate,113,"123 Example St, City, State 113",2024-05-31,2,66.0,False,72.4,2020,6120,True,False
HOA Violations,114,"123 Example St, City, State 114",2024-06-30,3,66.5,True,72.6,2021,6130,True,True
HOA Violations,115,"123 Example St, City, State 115",2024-07-31,4,67.0,False,72.8,2022,6140,False,True
Loan Modification,116,"123 Example St, City, State 116",2024-08-31,0,67.5,True,73.0,2018,6150,True,True
Loan Modification,117,"123 Example St, City, State 117",2024-09-30,1,68.0,False,73.2,2019,6160,True,False
Bankruptcy,118,"123 Example St, City, State 118",2024-10-31,2,68.5,True,73.4,2020,6170,False,True
HOA Violations,119,"123 Example St, City, State 119",2024-11-30,3,69.0,False,73.6,2021,6180,True,True
Title Issues,120,"123 Example St, City, State 120",2024-12-31,4,69.5,True,73.8,2022,6190,True,True
Probate,121,"123 Example St, City, State 121",2025-01-31,0,70.0,False,74.0,2018,6200,False,False
Property Damage,122,"123 Example St, City, State 122",2025-02-28,1,70.5,True,74.2,2019,6210,True,True
Lien,123,"123 Example St, City, State 123",2025-03-31,2,71.0,False,74.4,2020,6220,True,True
Probate,124,"123 Example St, City, State 124",2025-04-30,3,71.5,True,74.6,2021,6230,False,True
Short Sale,125,"123 Example St, City, State 125",2025-05-31,4,72.0,False,74.8,2022,6240,True,False
Foreclosure,126,"123 Example St, City, State 126",2025-06-30,0,72.5,True,75.0,2018,6250,True,True
Unpaid Taxes,127,"123 Example St, City, State 127",2025-07-31,1,73.0,False,75.2,2019,6260,False,True
Unpaid Taxes,128,"123 Example St, City, State 128",2025-08-31,2,73.5,True,75.4,2020,6270,True,True
Property Damage,129,"123 Example St, City, State 129",2025-09-30,3,74.0,False,75.6,2021,6280,True,False
HOA Violations,130,"123 Example St, City, State 130",2025-10-31,4,74.5,True,75.8,2022,6290,False,True
Foreclosure,131,"123 Example St, City, State 131",2025-11-30,0,75.0,False,76.0,2018,6300,True,True
Probate,132,"123 Example St, City, State 132",2025-12-31,1,75.5,True,76.2,2019,6310,True,True
Title Issues,133,"123 Example St, City, State 133",2026-01-31,2,76.0,False,76.4,2020,6320,False,False
Property Damage,134,"123 Example St, City, State 134",2026-02-28,3,76.5,True,76.6,2021,6330,True,True
Title Issues,135,"123 Example St, City, State 135",2026-03-31,4,77.0,False,76.8,2022,6340,True,True
Property Damage,136,"123 Example St, City, State 136",2026-04-30,0,77.5,True,77.0,2018,6350,False,True
Lien,137,"123 Example St, City, State 137",2026-05-31,1,78.0,False,77.2,2019,6360,True,False
Lien,138,"123 Example St, City, State 138",2026-06-30,2,78.5,True,77.4,2020,6370,True,True
Unpaid Taxes,139,"123 Example St, City, State 139",2026-07-31,3,79.0,False,77.6,2021,6380,False,True
Title Issues,140,"123 Example St, City, State 140",2026-08-31,4,79.5,True,77.8,2022,6390,True,True
Property Damage,141,"123 Example St, City, State 141",2026-09-30,0,80.0,False,78.0,2018,6400,True,False
Short Sale,142,"123 Example St, City, State 142",2026-10-31,1,80.5,True,78.2,2019,6410,False,True
Lien,143,"123 Example St, City, State 143",2026-11-30,2,81.0,False,78.4,2020,6420,True,True
Foreclosure,144,"123 Example St, City, State 144",2026-12-31,3,81.5,True,78.6,2021,6430,True,True
HOA Violations,145,"123 Example St, City, State 145",2027-01-31,4,82.0,False,78.8,2022,6440,False,False
Loan Modification,146,"123 Example St, City, State 146",2027-02-28,0,82.5,True,79.0,2018,6450,True,True
Title Issues,147,"123 Example St, City, State 147",2027-03-31,1,83.0,False,79.2,2019,6460,True,True
Loan Modification,148,"123 Example St, City, State 148",2027-04-30,2,83.5,True,79.4,2020,6470,False,True
HOA Violations,149,"123 Example St, City, State 149",2027-05-31,3,84.0,False,79.6,2021,6480,True,False
HOA Violations,150,"123 Example St, City, State 150",2027-06-30,4,84.5,True,79.8,2022,6490,True,True
Title Issues,151,"123 Example St, City, State 151",2027-07-31,0,85.0,False,80.0,2018,6500,False,True
Title Issues,152,"123 Example St, City, State 152",2027-08-31,1,85.5,True,80.2,2019,6510,True,True
Lien,153,"123 Example St, City, State 153",2027-09-30,2,86.0,False,80.4,2020,6520,True,False
Bankruptcy,154,"123 Example St, City, State 154",2027-10-31,3,86.5,True,80.6,2021,6530,False,True
HOA Violations,155,"123 Example St, City, State 155",2027-11-30,4,87.0,False,80.8,2022,6540,True,True
Property Damage,156,"123 Example St, City, State 156",2027-12-31,0,87.5,True,81.0,2018,6550,True,True
Probate,157,"123 Example St, City, State 157",2028-01-31,1,88.0,False,81.2,2019,6560,False,False
HOA Violations,158,"123 Example St, City, State 158",2028-02-29,2,88.5,True,81.4,2020,6570,True,True
Unpaid Taxes,159,"123 Example St, City, State 159",2028-03-31,3,89.0,False,81.6,2021,6580,True,True
Unpaid Taxes,160,"123 Example St, City, State 160",2028-04-30,4,89.5,True,81.8,2022,6590,False,True
HOA Violations,161,"123 Example St, City, State 161",2028-05-31,0,90.0,False,82.0,2018,6600,True,False
Unpaid Taxes,162,"123 Example St, City, State 162",2028-06-30,1,90.5,True,82.2,2019,6610,True,True
Short Sale,163,"123 Example St, City, State 163",2028-07-31,2,91.0,False,82.4,2020,6620,False,True
Lien,164,"123 Example St, City, State 164",2028-08-31,3,91.5,True,82.6,2021,6630,True,True
Unpaid Taxes,165,"123 Example St, City, State 165",2028-09-30,4,92.0,False,82.8,2022,6640,True,False
Loan Modification,166,"123 Example St, City, State 166",2028-10-31,0,92.5,True,83.0,2018,6650,False,True
Bankruptcy,167,"123 Example St, City, State 167",2028-11-30,1,93.0,False,83.2,2019,6660,True,True
Foreclosure,168,"123 Example St, City, State 168",2028-12-31,2,93.5,True,83.4,2020,6670,True,True
Lien,169,"123 Example St, City, State 169",2029-01-31,3,94.0,False,83.6,2021,6680,False,False
Bankruptcy,170,"123 Example St, City, State 170",2029-02-28,4,94.5,True,83.8,2022,6690,True,True
Bankruptcy,171,"123 Example St, City, State 171",2029-03-31,0,95.0,False,84.0,2018,6700,True,True
Probate,172,"123 Example St, City, State 172",2029-04-30,1,95.5,True,84.2,2019,6710,False,True
Bankruptcy,173,"123 Example St, City, State 173",2029-05-31,2,96.0,False,84.4,2020,6720,True,False
Short Sale,174,"123 Example St, City, State 174",2029-06-30,3,96.5,True,84.6,2021,6730,True,True
Bankruptcy,175,"123 Example St, City, State 175",2029-07-31,4,97.0,False,84.8,2022,6740,False,True
Bankruptcy,176,"123 Example St, City, State 176",2029-08-31,0,97.5,True,85.0,2018,6750,True,True
Unpaid Taxes,177,"123 Example St, City, State 177",2029-09-30,1,98.0,False,85.2,2019,6760,True,False
Foreclosure,178,"123 Example St, City, State 178",2029-10-31,2,98.5,True,85.4,2020,6770,False,True
Title Issues,179,"123 Example St, City, State 179",2029-11-30,3,99.0,False,85.6,2021,6780,True,True
Unpaid Taxes,180,"123 Example St, City, State 180",2029-12-31,4,99.5,True,85.8,2022,6790,True,True
Title Issues,181,"123 Example St, City, State 181",2030-01-31,0,100.0,False,86.0,2018,6800,False,False
Unpaid Taxes,182,"123 Example St, City, State 182",2030-02-28,1,100.5,True,86.2,2019,6810,True,True
Foreclosure,183,"123 Example St, City, State 183",2030-03-31,2,101.0,False,86.4,2020,6820,True,True
Short Sale,184,"123 Example St, City, State 184",2030-04-30,3,101.5,True,86.6,2021,6830,False,True
Short Sale,185,"123 Example St, City, State 185",2030-05-31,4,102.0,False,86.8,2022,6840,True,False
HOA Violations,186,"123 Example St, City, State 186",2030-06-30,0,102.5,True,87.0,2018,6850,True,True
Title Issues,187,"123 Example St, City, State 187",2030-07-31,1,103.0,False,87.2,2019,6860,False,True
Foreclosure,188,"123 Example St, City, State 188",2030-08-31,2,103.5,True,87.4,2020,6870,True,True
Foreclosure,189,"123 Example St, City, State 189",2030-09-30,3,104.0,False,87.6,2021,6880,True,False
Probate,190,"123 Example St, City, State 190",2030-10-31,4,104.5,True,87.8,2022,6890,False,True
Bankruptcy,191,"123 Example St, City, State 191",2030-11-30,0,105.0,False,88.0,2018,6900,True,True
Loan Modification,192,"123 Example St, City, State 192",2030-12-31,1,105.5,True,88.2,2019,6910,True,True
Bankruptcy,193,"123 Example St, City, State 193",2031-01-31,2,106.0,False,88.4,2020,6920,False,False
Title Issues,194,"123 Example St, City, State 194",2031-02-28,3,106.5,True,88.6,2021,6930,True,True
Loan Modification,195,"123 Example St, City, State 195",2031-03-31,4,107.0,False,88.8,2022,6940,True,True
Title Issues,196,"123 Example St, City, State 196",2031-04-30,0,107.5,True,89.0,2018,6950,False,True
Title Issues,197,"123 Example St, City, State 197",2031-05-31,1,108.0,False,89.2,2019,6960,True,False
Short Sale,198,"123 Example St, City, State 198",2031-06-30,2,108.5,True,89.4,2020,6970,True,True
Unpaid Taxes,199,"123 Example St, City, State 199",2031-07-31,3,109.0,False,89.6,2021,6980,False,True
Title Issues,200,"123 Example St, City, State 200",2031-08-31,4,109.5,True,89.8,2022,6990,True,True
Foreclosure,201,"123 Example St, City, State 201",2026-12-18,0,33.66,False,38.48,2029,8105,False,True
HOA Violations,202,"123 Example St, City, State 202",2022-10-03,0,69.19,True,63.99,2029,5827,True,True
Foreclosure,203,"123 Example St, City, State 203",2031-06-19,4,74.22,True,23.26,2024,4707,False,True
Loan Modification,204,"123 Example St, City, State 204",2033-05-08,3,75.05,False,28.72,2013,1856,False,False
Title Issues,205,"123 Example St, City, State 205",2033-06-13,0,60.65,True,60.07,2022,1941,True,True
Bankruptcy,206,"123 Example St, City, State 206",2025-07-14,5,38.09,False,79.62,2023,1621,True,False
Loan Modification,207,"123 Example St, City, State 207",2016-04-04,0,12.4,False,37.43,2016,6044,False,False
Loan Modification,208,"123 Example St, City, State 208",2031-02-15,0,90.19,True,34.75,2021,2695,True,False
Bankruptcy,209,"123 Example St, City, State 209",2033-03-14,0,45.89,False,56.71,2024,2461,True,False
HOA Violations,210,"123 Example St, City, State 210",2031-10-20,1,27.41,False,45.9,2026,7347,False,True
Foreclosure,211,"123 Example St, City, State 211",2034-05-24,3,15.7,True,28.43,2016,8687,False,True
Unpaid Taxes,212,"123 Example St, City, State 212",2016-09-25,4,14.12,False,75.0,2020,9165,False,False
Foreclosure,213,"123 Example St, City, State 213",2018-01-05,0,59.81,True,50.75,2015,9200,False,True
Probate,214,"123 Example St, City, State 214",2026-03-17,2,68.54,False,63.33,2013,7622,False,True
Title Issues,215,"123 Example St, City, State 215",2024-10-11,4,8.44,True,24.5,2017,4686,False,True
Unpaid Taxes,216,"123 Example St, City, State 216",2019-11-09,5,82.6,False,62.02,2012,8808,True,True
Probate,217,"123 Example St, City, State 217",2024-04-03,1,69.17,False,59.58,2010,2179,True,False
Title Issues,218,"123 Example St, City, State 218",2017-04-18,5,53.8,True,31.09,2011,6574,False,False
Lien,219,"123 Example St, City, State 219",2032-01-24,4,14.12,False,22.51,2017,9187,True,True
Property Damage,220,"123 Example St, City, State 220",2018-03-05,1,14.04,True,27.73,2010,9589,False,True
Bankruptcy,221,"123 Example St, City, State 221",2020-04-19,2,57.05,True,56.4,2029,8047,True,True
Lien,222,"123 Example St, City, State 222",2025-05-26,5,11.43,False,77.11,2017,1454,True,False
Short Sale,223,"123 Example St, City, State 223",2019-02-11,0,53.51,False,66.79,2012,2136,True,True
Bankruptcy,224,"123 Example St, City, State 224",2018-03-21,5,79.15,False,51.69,2012,2037,True,True
Unpaid Taxes,225,"123 Example St, City, State 225",2015-01-19,0,70.7,True,57.05,2028,4223,True,False
Lien,226,"123 Example St, City, State 226",2026-12-04,1,7.59,False,37.53,2011,4105,True,False
HOA Violations,227,"123 Example St, City, State 227",2021-02-26,2,60.35,False,26.5,2020,3083,False,True
Bankruptcy,228,"123 Example St, City, State 228",2030-05-11,4,14.7,False,63.72,2014,4520,False,False
Probate,229,"123 Example St, City, State 229",2029-07-30,2,15.64,True,66.56,2026,3845,True,False
Property Damage,230,"123 Example St, City, State 230",2021-10-25,3,81.49,True,47.36,2025,1565,False,False
Loan Modification,231,"123 Example St, City, State 231",2026-08-29,3,93.12,True,32.85,2028,1252,False,True
Foreclosure,232,"123 Example St, City, State 232",2030-05-25,3,12.13,True,33.71,2013,3654,True,True
Short Sale,233,"123 Example St, City, State 233",2029-06-22,2,80.7,True,52.55,2010,9985,True,True
Property Damage,234,"123 Example St, City, State 234",2017-12-15,5,53.67,False,40.56,2018,1442,True,False
Property Damage,235,"123 Example St, City, State 235",2023-12-12,3,42.59,True,35.06,2023,9901,False,False
Foreclosure,236,"123 Example St, City, State 236",2018-12-12,5,12.23,False,22.33,2015,2763,True,False
Short Sale,237,"123 Example St, City, State 237",2027-12-30,3,8.3,False,36.76,2015,5722,True,True
HOA Violations,238,"123 Example St, City, State 238",2023-08-29,1,38.04,True,34.4,2017,4871,False,False
Lien,239,"123 Example St, City, State 239",2015-03-03,5,31.73,True,78.15,2027,6212,True,True
Short Sale,240,"123 Example St, City, State 240",2029-08-08,2,78.67,False,42.16,2023,4623,True,True
HOA Violations,241,"123 Example St, City, State 241",2031-10-04,5,78.74,False,20.37,2022,1526,True,False
Lien,242,"123 Example St, City, State 242",2015-02-11,5,94.68,True,57.05,2021,1122,False,True
Probate,243,"123 Example St, City, State 243",2021-11-20,5,23.15,True,22.52,2014,6899,False,True
Unpaid Taxes,244,"123 Example St, City, State 244",2021-12-24,5,34.37,False,68.39,2016,8893,True,True
Foreclosure,245,"123 Example St, City, State 245",2025-03-06,5,79.42,False,77.67,2022,2861,False,False
Title Issues,246,"123 Example St, City, State 246",2033-09-09,3,63.96,True,27.29,2011,6535,False,False
Property Damage,247,"123 Example St, City, State 247",2023-05-12,3,13.78,False,70.26,2016,6530,False,True
Lien,248,"123 Example St, City, State 248",2020-05-12,2,40.04,True,59.41,2018,4919,False,False
HOA Violations,249,"123 Example St, City, State 249",2028-10-24,2,35.47,True,55.97,2016,5878,True,False
Lien,250,"123 Example St, City, State 250",2027-10-29,2,21.77,False,28.85,2028,8474,False,True
Short Sale,251,"123 Example St, City, State 251",2022-06-24,3,53.42,True,23.9,2011,2384,False,True
Lien,252,"123 Example St, City, State 252",2022-02-08,4,24.74,False,67.62,2012,9133,False,True
Short Sale,253,"123 Example St, City, State 253",2022-06-02,3,73.37,True,66.16,2019,3327,False,True
Unpaid Taxes,254,"123 Example St, City, State 254",2030-09-12,1,27.74,True,66.06,2027,9911,False,True
Lien,255,"123 Example St, City, State 255",2017-06-23,4,70.05,True,75.06,2022,9307,True,False
Title Issues,256,"123 Example St, City, State 256",2021-09-15,2,60.85,False,77.88,2030,7792,True,True
Title Issues,257,"123 Example St, City, State 257",2023-08-05,5,70.42,False,44.33,2013,4446,False,False
Lien,258,"123 Example St, City, State 258",2023-12-17,2,65.6,False,44.03,2029,4394,True,True
Lien,259,"123 Example St, City, State 259",2027-01-02,0,84.68,True,71.09,2024,1195,False,False
Property Damage,260,"123 Example St, City, State 260",2023-05-25,3,72.63,True,73.32,2028,3881,True,True
Foreclosure,261,"123 Example St, City, State 261",2033-12-03,5,28.47,False,33.22,2015,9841,False,True
Lien,262,"123 Example St, City, State 262",2015-11-12,1,84.04,True,68.8,2027,2505,True,True
Loan Modification,263,"123 Example St, City, State 263",2021-07-24,3,83.7,True,64.78,2011,5905,False,True
HOA Violations,264,"123 Example St, City, State 264",2017-04-07,3,14.39,True,33.92,2017,8447,False,False
Loan Modification,265,"123 Example St, City, State 265",2024-02-17,0,85.29,True,44.58,2028,4176,True,True
Property Damage,266,"123 Example St, City, State 266",2029-03-16,5,11.76,False,55.06,2011,3167,True,True
Foreclosure,267,"123 Example St, City, State 267",2032-03-27,0,34.64,False,38.64,2026,3779,False,False
Short Sale,268,"123 Example St, City, State 268",2016-06-17,5,33.66,True,43.64,2030,7016,True,True
Lien,269,"123 Example St, City, State 269",2026-09-08,2,56.64,True,75.96,2025,2452,True,False
Title Issues,270,"123 Example St, City, State 270",2017-05-02,0,28.55,True,47.53,2019,3789,True,True
Foreclosure,271,"123 Example St, City, State 271",2024-01-24,1,80.37,True,64.7,2016,5585,False,False
Bankruptcy,272,"123 Example St, City, State 272",2015-11-21,4,20.83,True,35.05,2029,3936,False,False
