Property ID,Real Estate Home Knowledge,Distress_Score,Investor_Insights
197,8,100.0,"High chance of foreclosure, Unpaid taxes"
198,7,100.0,"High chance of foreclosure, Unpaid taxes"
199,9,100.0,"High chance of foreclosure, Unpaid taxes"
200,8,100.0,"High chance of foreclosure, Unpaid taxes"
201,1,100.0,"High chance of foreclosure, Unpaid taxes"
202,2,100.0,"High chance of foreclosure, Unpaid taxes"
203,1,100.0,High chance of foreclosure
204,4,100.0,High chance of foreclosure
205,8,100.0,High chance of foreclosure
206,0,100.0,High chance of foreclosure
207,4,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
208,4,100.0,High chance of foreclosure
209,0,99.0,High chance of foreclosure
210,2,100.0,"High chance of foreclosure, Unpaid taxes"
211,1,100.0,"High chance of foreclosure, Unpaid taxes"
212,9,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
213,1,100.0,"High chance of foreclosure, Unpaid taxes"
214,5,100.0,"High chance of foreclosure, Unpaid taxes"
215,8,100.0,"High chance of foreclosure, Negative equity"
216,9,100.0,"High chance of foreclosure, Unpaid taxes"
217,5,100.0,High chance of foreclosure
218,8,100.0,"High chance of foreclosure, Unpaid taxes"
219,3,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
220,6,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
221,0,100.0,"High chance of foreclosure, Unpaid taxes"
222,3,100.0,"High chance of foreclosure, Negative equity"
223,7,100.0,High chance of foreclosure
224,0,100.0,High chance of foreclosure
225,9,100.0,High chance of foreclosure
226,3,100.0,"High chance of foreclosure, Negative equity"
227,2,99.5,High chance of foreclosure
228,0,100.0,"High chance of foreclosure, Negative equity"
229,5,100.0,High chance of foreclosure
230,6,100.0,High chance of foreclosure
231,4,100.0,High chance of foreclosure
232,1,100.0,"High chance of foreclosure, Negative equity"
233,7,100.0,"High chance of foreclosure, Unpaid taxes"
234,6,100.0,High chance of foreclosure
235,6,100.0,"High chance of foreclosure, Unpaid taxes"
236,1,99.5,"High chance of foreclosure, Negative equity"
237,7,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
238,2,100.0,High chance of foreclosure
239,3,100.0,"High chance of foreclosure, Unpaid taxes"
240,7,100.0,High chance of foreclosure
241,2,100.0,High chance of foreclosure
242,3,100.0,High chance of foreclosure
243,5,100.0,"High chance of foreclosure, Unpaid taxes"
244,9,100.0,"High chance of foreclosure, Unpaid taxes"
245,1,98.5,High chance of foreclosure
246,8,100.0,"High chance of foreclosure, Unpaid taxes"
247,6,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
248,3,100.0,High chance of foreclosure
249,2,100.0,"High chance of foreclosure, Unpaid taxes"
250,3,100.0,"High chance of foreclosure, Unpaid taxes"
251,7,100.0,High chance of foreclosure
252,3,100.0,"High chance of foreclosure, Unpaid taxes"
253,7,100.0,High chance of foreclosure
254,9,100.0,"High chance of foreclosure, Unpaid taxes"
255,3,100.0,"High chance of foreclosure, Unpaid taxes"
256,8,100.0,"High chance of foreclosure, Unpaid taxes"
257,8,100.0,High chance of foreclosure
258,3,100.0,High chance of foreclosure
259,3,99.5,High chance of foreclosure
260,6,100.0,High chance of foreclosure
261,1,100.0,"High chance of foreclosure, Unpaid taxes"
262,3,100.0,High chance of foreclosure
263,4,100.0,"High chance of foreclosure, Unpaid taxes"
264,2,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
265,4,100.0,High chance of foreclosure
266,6,100.0,"High chance of foreclosure, Negative equity"
268,7,100.0,"High chance of foreclosure, Unpaid taxes"
269,3,100.0,High chance of foreclosure
270,8,100.0,High chance of foreclosure
271,1,100.0,"High chance of foreclosure, Unpaid taxes"
272,0,100.0,High chance of foreclosure
273,4,100.0,"High chance of foreclosure, Unpaid taxes"
274,6,100.0,"High chance of foreclosure, Unpaid taxes"
275,6,100.0,"High chance of foreclosure, Unpaid taxes"
276,0,100.0,High chance of foreclosure
277,0,100.0,"High chance of foreclosure, Unpaid taxes"
278,0,100.0,"High chance of foreclosure, Unpaid taxes"
279,3,100.0,"High chance of foreclosure, Unpaid taxes"
280,1,100.0,"High chance of foreclosure, Unpaid taxes"
281,8,100.0,"High chance of foreclosure, Negative equity"
282,4,100.0,"High chance of foreclosure, Unpaid taxes"
283,1,100.0,High chance of foreclosure
284,0,100.0,High chance of foreclosure
285,2,100.0,High chance of foreclosure
286,3,100.0,High chance of foreclosure
287,4,100.0,High chance of foreclosure
288,0,100.0,"High chance of foreclosure, Unpaid taxes"
289,5,100.0,"High chance of foreclosure, Unpaid taxes"
290,4,100.0,"High chance of foreclosure, Unpaid taxes"
291,8,100.0,High chance of foreclosure
292,0,100.0,"High chance of foreclosure, Unpaid taxes"
293,9,100.0,High chance of foreclosure
294,4,100.0,"High chance of foreclosure, Unpaid taxes"
295,8,100.0,"High chance of foreclosure, Unpaid taxes"
296,3,100.0,High chance of foreclosure
297,8,100.0,High chance of foreclosure
298,6,100.0,High chance of foreclosure
299,5,100.0,High chance of foreclosure
300,0,100.0,"High chance of foreclosure, Negative equity"
301,8,100.0,"High chance of foreclosure, Unpaid taxes"
302,1,100.0,"High chance of foreclosure, Unpaid taxes"
303,1,100.0,"High chance of foreclosure, Unpaid taxes"
304,5,99.5,High chance of foreclosure
305,7,100.0,High chance of foreclosure
306,8,100.0,"High chance of foreclosure, Unpaid taxes"
307,2,100.0,"High chance of foreclosure, Unpaid taxes"
308,8,100.0,High chance of foreclosure
309,7,100.0,"High chance of foreclosure, Unpaid taxes"
310,1,100.0,"High chance of foreclosure, Unpaid taxes"
311,5,100.0,High chance of foreclosure
312,3,100.0,High chance of foreclosure
313,2,100.0,High chance of foreclosure
314,5,100.0,"High chance of foreclosure, Unpaid taxes"
315,4,100.0,"High chance of foreclosure, Unpaid taxes"
316,7,100.0,"High chance of foreclosure, Unpaid taxes"
317,5,100.0,"High chance of foreclosure, Unpaid taxes"
318,6,100.0,"High chance of foreclosure, Unpaid taxes"
319,8,100.0,"High chance of foreclosure, Unpaid taxes"
320,1,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
321,9,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
322,4,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
323,9,100.0,High chance of foreclosure
324,4,100.0,"High chance of foreclosure, Unpaid taxes"
325,6,100.0,"High chance of foreclosure, Unpaid taxes"
326,8,100.0,High chance of foreclosure
327,9,100.0,"High chance of foreclosure, Unpaid taxes"
329,6,100.0,"High chance of foreclosure, Unpaid taxes"
330,1,100.0,"High chance of foreclosure, Unpaid taxes"
331,9,100.0,"High chance of foreclosure, Unpaid taxes"
332,0,98.0,"High chance of foreclosure, Unpaid taxes"
333,0,100.0,"High chance of foreclosure, Unpaid taxes"
334,4,100.0,"High chance of foreclosure, Unpaid taxes"
335,0,100.0,High chance of foreclosure
336,2,99.5,"High chance of foreclosure, Negative equity"
337,6,100.0,High chance of foreclosure
338,1,99.5,High chance of foreclosure
339,7,100.0,High chance of foreclosure
340,2,99.5,"High chance of foreclosure, Negative equity"
341,0,100.0,"High chance of foreclosure, Negative equity"
342,6,100.0,"High chance of foreclosure, Unpaid taxes"
343,3,100.0,"High chance of foreclosure, Unpaid taxes"
344,2,100.0,"High chance of foreclosure, Unpaid taxes"
345,1,100.0,High chance of foreclosure
346,5,100.0,"High chance of foreclosure, Unpaid taxes"
347,1,100.0,High chance of foreclosure
348,2,100.0,"High chance of foreclosure, Unpaid taxes"
349,1,100.0,High chance of foreclosure
350,9,100.0,"High chance of foreclosure, Unpaid taxes"
351,4,100.0,High chance of foreclosure
352,1,100.0,"High chance of foreclosure, Unpaid taxes"
353,9,100.0,High chance of foreclosure
354,7,100.0,High chance of foreclosure
355,3,100.0,"High chance of foreclosure, Unpaid taxes"
356,2,100.0,"High chance of foreclosure, Unpaid taxes"
357,9,100.0,High chance of foreclosure
358,8,100.0,"High chance of foreclosure, Unpaid taxes"
359,3,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
360,4,100.0,High chance of foreclosure
361,1,100.0,High chance of foreclosure
362,6,100.0,High chance of foreclosure
363,1,100.0,"High chance of foreclosure, Unpaid taxes"
364,5,100.0,High chance of foreclosure
365,4,100.0,"High chance of foreclosure, Unpaid taxes"
366,9,100.0,"High chance of foreclosure, Unpaid taxes"
367,1,100.0,High chance of foreclosure
368,8,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
369,3,100.0,High chance of foreclosure
370,2,100.0,High chance of foreclosure
371,7,100.0,High chance of foreclosure
372,1,100.0,High chance of foreclosure
373,4,100.0,High chance of foreclosure
374,1,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
375,6,100.0,"High chance of foreclosure, Unpaid taxes"
376,2,100.0,"High chance of foreclosure, Unpaid taxes"
377,2,100.0,High chance of foreclosure
378,5,100.0,High chance of foreclosure
379,4,100.0,"High chance of foreclosure, Unpaid taxes"
380,9,100.0,"High chance of foreclosure, Unpaid taxes"
381,2,100.0,High chance of foreclosure
382,0,99.0,"High chance of foreclosure, Unpaid taxes"
383,6,100.0,High chance of foreclosure
384,3,100.0,High chance of foreclosure
385,2,100.0,"High chance of foreclosure, Unpaid taxes"
386,9,100.0,"High chance of foreclosure, Unpaid taxes"
387,0,100.0,High chance of foreclosure
388,0,100.0,"High chance of foreclosure, Unpaid taxes"
389,7,100.0,"High chance of foreclosure, Unpaid taxes"
390,1,100.0,"High chance of foreclosure, Unpaid taxes"
391,4,100.0,"High chance of foreclosure, Unpaid taxes"
392,2,100.0,High chance of foreclosure
393,4,100.0,"High chance of foreclosure, Unpaid taxes"
394,9,100.0,"High chance of foreclosure, Unpaid taxes"
395,8,100.0,"High chance of foreclosure, Unpaid taxes"
396,6,100.0,"High chance of foreclosure, Unpaid taxes"
397,4,100.0,High chance of foreclosure
398,3,100.0,"High chance of foreclosure, Unpaid taxes"
399,2,100.0,"High chance of foreclosure, Unpaid taxes"
400,6,99.5,High chance of foreclosure
401,7,100.0,"High chance of foreclosure, Unpaid taxes"
402,9,100.0,High chance of foreclosure
403,2,100.0,High chance of foreclosure
404,1,99.5,High chance of foreclosure
405,7,100.0,High chance of foreclosure
406,6,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
407,8,100.0,"High chance of foreclosure, Unpaid taxes"
408,2,100.0,"High chance of foreclosure, Unpaid taxes"
409,7,100.0,"High chance of foreclosure, Unpaid taxes"
410,3,100.0,High chance of foreclosure
411,1,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
412,2,100.0,High chance of foreclosure
413,1,100.0,"High chance of foreclosure, Unpaid taxes"
414,9,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
415,4,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
416,8,100.0,High chance of foreclosure
417,0,99.5,High chance of foreclosure
418,8,100.0,"High chance of foreclosure, Unpaid taxes"
419,8,100.0,High chance of foreclosure
420,8,100.0,"High chance of foreclosure, Unpaid taxes"
421,7,100.0,"High chance of foreclosure, Negative equity"
422,7,100.0,High chance of foreclosure
423,6,100.0,"High chance of foreclosure, Unpaid taxes"
424,2,100.0,High chance of foreclosure
425,8,100.0,High chance of foreclosure
426,5,100.0,High chance of foreclosure
427,0,100.0,"High chance of foreclosure, Unpaid taxes"
428,0,100.0,"High chance of foreclosure, Unpaid taxes"
429,4,100.0,"High chance of foreclosure, Unpaid taxes"
430,7,100.0,High chance of foreclosure
431,5,99.5,High chance of foreclosure
432,5,100.0,High chance of foreclosure
433,3,100.0,"High chance of foreclosure, Unpaid taxes"
434,8,99.5,High chance of foreclosure
435,0,100.0,"High chance of foreclosure, Unpaid taxes"
436,3,100.0,"High chance of foreclosure, Unpaid taxes"
437,2,100.0,High chance of foreclosure
438,7,100.0,"High chance of foreclosure, Unpaid taxes"
439,7,100.0,"High chance of foreclosure, Unpaid taxes"
440,7,100.0,"High chance of foreclosure, Unpaid taxes"
441,8,100.0,High chance of foreclosure
442,8,100.0,"High chance of foreclosure, Unpaid taxes"
443,6,100.0,"High chance of foreclosure, Negative equity"
444,8,100.0,High chance of foreclosure
445,2,100.0,"High chance of foreclosure, Unpaid taxes"
446,4,100.0,"High chance of foreclosure, Unpaid taxes"
447,5,100.0,"High chance of foreclosure, Unpaid taxes"
448,9,100.0,High chance of foreclosure
449,9,98.5,High chance of foreclosure
450,5,100.0,"High chance of foreclosure, Unpaid taxes"
451,8,100.0,High chance of foreclosure
452,7,98.0,High chance of foreclosure
453,3,100.0,High chance of foreclosure
454,1,100.0,"High chance of foreclosure, Unpaid taxes"
455,9,99.5,"High chance of foreclosure, Unpaid taxes"
456,8,100.0,"High chance of foreclosure, Unpaid taxes"
457,7,100.0,"High chance of foreclosure, Unpaid taxes"
459,9,100.0,"High chance of foreclosure, Unpaid taxes"
460,7,100.0,High chance of foreclosure
461,4,100.0,"High chance of foreclosure, Unpaid taxes"
462,6,100.0,"High chance of foreclosure, Unpaid taxes"
463,2,100.0,High chance of foreclosure
464,4,100.0,High chance of foreclosure
465,5,100.0,"High chance of foreclosure, Unpaid taxes"
466,4,100.0,"High chance of foreclosure, Unpaid taxes"
467,3,100.0,"High chance of foreclosure, Negative equity"
468,9,100.0,High chance of foreclosure
469,0,100.0,"High chance of foreclosure, Unpaid taxes"
470,3,100.0,"High chance of foreclosure, Unpaid taxes"
471,6,98.5,High chance of foreclosure
472,5,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
473,6,100.0,"High chance of foreclosure, Unpaid taxes"
474,5,100.0,High chance of foreclosure
475,1,98.5,"High chance of foreclosure, Unpaid taxes"
476,6,100.0,High chance of foreclosure
477,2,100.0,"High chance of foreclosure, Unpaid taxes"
478,6,100.0,"High chance of foreclosure, Unpaid taxes"
479,7,100.0,High chance of foreclosure
480,2,100.0,"High chance of foreclosure, Unpaid taxes"
481,6,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
482,2,100.0,High chance of foreclosure
483,2,100.0,"High chance of foreclosure, Unpaid taxes"
484,5,98.5,High chance of foreclosure
485,9,100.0,High chance of foreclosure
486,1,100.0,"High chance of foreclosure, Unpaid taxes"
487,8,100.0,"High chance of foreclosure, Unpaid taxes"
488,2,100.0,"High chance of foreclosure, Unpaid taxes"
489,2,100.0,"High chance of foreclosure, Unpaid taxes"
490,3,100.0,High chance of foreclosure
491,2,100.0,"High chance of foreclosure, Unpaid taxes"
492,9,99.5,"High chance of foreclosure, Unpaid taxes"
493,0,100.0,High chance of foreclosure
495,2,100.0,"High chance of foreclosure, Negative equity"
496,0,100.0,High chance of foreclosure
497,9,100.0,"High chance of foreclosure, Unpaid taxes"
498,6,100.0,High chance of foreclosure
499,7,100.0,High chance of foreclosure
500,0,100.0,"High chance of foreclosure, Negative equity"
501,7,100.0,High chance of foreclosure
502,7,100.0,High chance of foreclosure
503,8,100.0,High chance of foreclosure
504,4,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
505,1,100.0,High chance of foreclosure
506,4,99.5,High chance of foreclosure
507,8,100.0,"High chance of foreclosure, Unpaid taxes"
509,6,100.0,"High chance of foreclosure, Unpaid taxes"
510,6,100.0,"High chance of foreclosure, Unpaid taxes"
511,1,100.0,High chance of foreclosure
512,4,100.0,High chance of foreclosure
513,3,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
514,9,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
515,5,100.0,High chance of foreclosure
516,2,100.0,High chance of foreclosure
517,4,100.0,"High chance of foreclosure, Unpaid taxes"
518,8,100.0,"High chance of foreclosure, Unpaid taxes"
519,1,100.0,High chance of foreclosure
520,4,100.0,High chance of foreclosure
521,7,100.0,"High chance of foreclosure, Unpaid taxes"
522,3,100.0,High chance of foreclosure
523,4,100.0,"High chance of foreclosure, Unpaid taxes"
524,0,100.0,High chance of foreclosure
525,6,98.5,High chance of foreclosure
526,9,100.0,"High chance of foreclosure, Unpaid taxes"
527,8,100.0,"High chance of foreclosure, Unpaid taxes"
528,9,99.0,High chance of foreclosure
529,9,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
530,1,100.0,High chance of foreclosure
531,8,100.0,"High chance of foreclosure, Unpaid taxes"
532,9,100.0,"High chance of foreclosure, Negative equity"
533,2,100.0,High chance of foreclosure
534,0,100.0,High chance of foreclosure
535,1,100.0,High chance of foreclosure
536,1,100.0,High chance of foreclosure
537,1,100.0,"High chance of foreclosure, Unpaid taxes"
538,7,100.0,"High chance of foreclosure, Negative equity"
539,3,100.0,"High chance of foreclosure, Unpaid taxes"
540,1,100.0,High chance of foreclosure
541,9,99.0,High chance of foreclosure
542,1,100.0,High chance of foreclosure
543,1,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
544,2,100.0,"High chance of foreclosure, Unpaid taxes"
545,6,100.0,High chance of foreclosure
546,6,100.0,High chance of foreclosure
547,9,100.0,High chance of foreclosure
548,0,100.0,"High chance of foreclosure, Unpaid taxes, Negative equity"
549,5,100.0,"High chance of foreclosure, Unpaid taxes"
550,4,100.0,"High chance of foreclosure, Unpaid taxes"
551,3,100.0,High chance of foreclosure
552,8,100.0,"High chance of foreclosure, Unpaid taxes"
553,0,100.0,"High chance of foreclosure, Unpaid taxes"
554,1,100.0,High chance of foreclosure
555,3,100.0,High chance of foreclosure
556,8,100.0,High chance of foreclosure
557,4,100.0,High chance of foreclosure
558,7,100.0,High chance of foreclosure
559,7,100.0,"High chance of foreclosure, Unpaid taxes"
560,3,100.0,"High chance of foreclosure, Unpaid taxes"
